Original String,Last 9 Digits
https://www.newlook.com/row/mens/clothing/hoodies-sweatshirts/threadbare-dark-grey-zip-up-hoodie/p/873545803,873545803
https://www.newlook.com/row/mens/clothing/shorts/threadbare-blue-logo-shorts/p/873538540,873538540
https://www.newlook.com/row/mens/clothing/hoodies-sweatshirts/threadbare-navy-contrast-logo-hoodie/p/873535641,873535641
https://www.newlook.com/row/mens/clothing/hoodies-sweatshirts/threadbare-grey-zip-up-hoodie/p/873534804,873534804
https://www.newlook.com/row/mens/clothing/shirts/threadbare-white-pocket-short-sleeve-shirt/p/873528910,873528910
https://www.newlook.com/row/mens/clothing/shirts/threadbare-olive-pocket-short-sleeve-shirt/p/873527833,873527833
https://www.newlook.com/row/mens/clothing/shirts/threadbare-white-short-sleeve-shirt/p/873506010,873506010
https://www.newlook.com/row/mens/clothing/shirts/threadbare-navy-logo-oxford-shirt/p/873505841,873505841
https://www.newlook.com/row/mens/clothing/shirts/black-abstract-print-short-sleeve-shirt/p/872149209,872149209
https://www.newlook.com/row/mens/clothing/shirts/black-floral-short-sleeve-shirt/p/872142899,872142899
https://www.newlook.com/row/c/dark-khaki-long-sleeve-oxford-shirt/p/871560034,871560034
https://www.newlook.com/row/mens/new-look-kind/khaki-cotton-long-sleeve-oxford-shirt/p/871553334,871553334
https://www.newlook.com/row/mens/new-look-kind/khaki-long-sleeve-poplin-shirt/p/871533134,871533134
https://www.newlook.com/row/mens/clothing/nightwear/grey-marl-embroidered-short-pyjama-set/p/871244507,871244507
https://www.newlook.com/row/mens/clothing/jeans/dark-brown-straight-fit-jeans/p/871017127,871017127
https://www.newlook.com/row/mens/clothing/jeans/off-white-straight-fit-jeans/p/871017112,871017112
https://www.newlook.com/row/mens/clothing/hoodies-sweatshirts/grey-marl-est-98-logo-zip-neck-sweatshirt/p/870840207,870840207
https://www.newlook.com/row/mens/clothing/hoodies-sweatshirts/navy-new-york-varsity-crew-neck-sweatshirt/p/870796041,870796041
https://www.newlook.com/row/mens/clothing/trousers/grey-marl-cuffed-joggers/p/870555607,870555607
https://www.newlook.com/row/mens/clothing/jackets-coats/black-leather-look-bomber-jacket/p/869983201,869983201
https://www.newlook.com/row/mens/clothing/jackets-coats/black-woven-bomber-jacket/p/869982801,869982801
https://www.newlook.com/row/mens/clothing/jackets-coats/grey-check-print-textured-overshirt/p/869807404,869807404
https://www.newlook.com/row/mens/clothing/jackets-coats/grey-cotton-twill-overshirt/p/869799904,869799904
https://www.newlook.com/row/mens/clothing/trousers/stone-cotton-cuffed-cargo-trousers/p/868746316,868746316
https://www.newlook.com/row/mens/clothing/knitwear/khaki-fisherman-knit-collared-regular-fit-cardigan/p/868196934,868196934
https://www.newlook.com/row/mens/clothing/knitwear/black-fisherman-knit-collared-regular-fit-cardigan/p/868196901,868196901
https://www.newlook.com/row/mens/clothing/knitwear/grey-ribbed-knit-crew-neck-jumper/p/868150704,868150704
https://www.newlook.com/row/mens/clothing/knitwear/black-fine-knit-slim-fit-cardigan/p/868105301,868105301
https://www.newlook.com/row/mens/new-look-kind/dark-green-fine-knit-zip-neck-slim-fit-jumper/p/868092638,868092638
https://www.newlook.com/row/mens/clothing/jackets-coats/khaki-puffer-jacket/p/868018834,868018834
https://www.newlook.com/row/mens/clothing/jackets-coats/stone-puffer-jacket/p/868018816,868018816
https://www.newlook.com/row/mens/clothing/jackets-coats/off-white-high-neck-borg-gilet/p/868012412,868012412
https://www.newlook.com/row/mens/clothing-collections/mens-autumn-edit/stone-padded-zip-gilet/p/868005816,868005816
